old,new,isSyntactic,Hamming,Reversed Hamming,Levenshtein,OSA,Jaro,Jaro-Winkler,LCS,Jaccard,NGram,Cosine,Sørensen–Dice
notifica que o Administrador foi adicionado com sucesso,notifica que o Administrador foi adicionado com sucesso e exibe lista de Administradores,0,0.375,0.9659090909090909,0.375,0.375,0.125,0.046875,0.375,0.16666666666666663,0.375,0.041004692067321824,0.12244897959183676
notifica usuario que os nova Compatibilidade foi adicionada com sucesso,notifica usuario que os nova Compatibilidade foi adicionada com sucesso e exibe lista de Compatibilidades,0,0.3238095238095238,0.9619047619047619,0.3238095238095238,0.3238095238095238,0.10793650793650789,0.034950869236583526,0.32380952380952377,0.050000000000000044,0.3238095238095238,0.030659261588806164,0.08771929824561409
mostra uma mensagem de cadastro de E-commerce com sucesso,notifica que E-commerce foi cadastrado com sucesso e exibe lista de Ecommerces,0,0.9615384615384616,0.9615384615384616,0.6666666666666666,0.6666666666666666,0.27134253011445997,0.2682561103613734,0.5769230769230769,0.35,0.7297008547008547,0.08071428092833344,0.4606741573033708
mostra operador adicionado em tabela na tela de cadastro,notifica que o operador foi adicionado e o mostra em tabela de operadores,0,0.9178082191780822,0.9315068493150684,0.4794520547945205,0.4794520547945205,0.2940704500978474,0.2940704500978474,0.4383561643835616,0.17647058823529416,0.5159817351598173,0.07678670785227637,0.32499999999999996
atualiza os dados do E-commerce no sistema,notifica usuario de que o Ecommerce foi atualizado com sucesso,0,0.9032258064516129,0.967741935483871,0.6451612903225806,0.6451612903225806,0.32928827444956477,0.32452636968766,0.5806451612903225,0.16666666666666663,0.7096774193548387,0.10006754728319323,0.5384615384615384
preenche dados validos e clica em Atualizar,preenche dados obrigatorios e clica em Atualizar,0,0.6666666666666666,0.5,0.1875,0.1875,0.17881136950904397,0.12293281653746768,0.16666666666666663,0.15000000000000002,0.19791666666666666,0.05759155713650255,0.18840579710144922
clica em tab 'Pedidos',clica em contador 'Outros',0,0.6538461538461539,0.8846153846153846,0.4230769230769231,0.4230769230769231,0.24996572055395594,0.16343912497758661,0.3846153846153846,0.3529411764705882,0.4807692307692308,0.23309255006931262,0.5
abre uma tela com a lista de 'Pedidos',abre uma tela com a lista de 'Pedidos' ou Notas,0,0.19148936170212766,0.9148936170212766,0.19148936170212766,0.19148936170212766,0.06382978723404253,0.012222725215029429,0.19148936170212771,0.0625,0.19148936170212766,0.02805416053185472,0.09375
seleciona algum Pedido (NFe) da lista,seleciona algum Pedido ou Nota da lista,0,0.41025641025641024,0.6410256410256411,0.15384615384615385,0.15384615384615385,0.12772212772212777,0.052398821629590864,0.15384615384615385,0.16666666666666663,0.16666666666666666,0.05902970226761417,0.19999999999999996
filtra os pedidos por algum campo,filtra as notas por algum campo,0,0.7272727272727273,0.48484848484848486,0.21212121212121213,0.21212121212121213,0.21472792440534372,0.16917957680421025,0.18181818181818177,0.1875,0.21212121212121213,0.109375,0.28888888888888886
clica no botao 'Registrar Ocorrencia',clica no botao 'Registrar Ocorrencia' para uma determinada nota,0,0.4126984126984127,0.9841269841269841,0.4126984126984127,0.4126984126984127,0.13756613756613756,0.05677332661459644,0.4126984126984127,0.21052631578947367,0.4126984126984127,0.0728056010097694,0.189873417721519
realiza extração em modo offline,exibe página que requisita dados do terminal,0,0.9772727272727273,1.0,0.7272727272727273,0.7272727272727273,0.42234848484848486,0.42234848484848486,0.6818181818181819,0.5,0.7727272727272727,0.23687947139624754,0.8245614035087719
conecta um terminal em uma porta USB previamente cadastrada e o coloca em modo LLT,inicia o SAFF Extractor e se autentica,0,1.0,0.9634146341463414,0.7804878048780488,0.7804878048780488,0.4085055281792207,0.4085055281792207,0.7560975609756098,0.5416666666666667,0.8343495934959348,0.23175101660414898,0.7209302325581395
entra em modo LLT,exibe pagina que requisita dados do terminal,0,0.9545454545454546,0.9545454545454546,0.7954545454545454,0.7954545454545454,0.4948306595365418,0.4948306595365418,0.7727272727272727,0.5789473684210527,0.7708333333333333,0.41119849601585534,0.9545454545454546
muda foco para campo referente ao tipo de teste,escolhe opcao Pre_Test para tipo de teste,0,0.8936170212765957,0.6595744680851063,0.5106382978723404,0.5106382978723404,0.2765601310581317,0.2765601310581317,0.4042553191489362,0.4736842105263158,0.5797872340425532,0.0888041315818846,0.46875
digita o product number e serial number válidos e pressiona tecla Tab,digita um product number e serial number validos e pressiona Extract (terminal em modo LLT),0,0.9120879120879121,0.967032967032967,0.31868131868131866,0.31868131868131866,0.1970764112230693,0.18191668728283317,0.3076923076923077,0.25,0.32967032967032966,0.041655112477519074,0.3142857142857143
escolhe opção Test1 para tipo de teste e pressiona botão 'Extract',apresenta a marcacao da opcao escolhida,0,0.9696969696969697,0.9242424242424242,0.7878787878787878,0.7878787878787878,0.43325831256865743,0.43325831256865743,0.7424242424242424,0.40909090909090906,0.8181818181818182,0.29934101759572296,0.7066666666666667
realiza a extração,realiza a extração| a envia para o servidor| e a salva nas pastas de backup local ('Backup' e 'Results'),0,0.8269230769230769,0.9807692307692307,0.8269230769230769,0.8269230769230769,0.27564102564102555,0.22793392504930954,0.8269230769230769,0.5769230769230769,0.6514423076923077,0.16330721016528216,0.6511627906976745
digita um product number e serial number validos e pressiona Extract,digita um product number e serial number validos| preenche o Note e pressiona Extract,0,0.4,0.7529411764705882,0.2,0.2,0.1132352941176471,0.04822376009227214,0.19999999999999996,0.13636363636363635,0.21176470588235294,0.026538442920007843,0.12
preenche incorretamente os campos 'Name'| 'Key File' e/ou 'Country' e pressiona o botão 'Create',preenche corretamente os campos 'Name'| 'Key File' e 'Country' e pressiona o botão 'Create' ,0,0.875,0.9791666666666666,0.0625,0.0625,0.15285243138504,0.1385225159426925,0.05208333333333337,0.04166666666666663,0.08333333333333333,0.00433397866317442,0.04761904761904767
digita um login de usuário administrador e/ou password invalidos pela terceira vez e pressiona Login,digita o user de um usuário inválido| digita uma password e pressiona o botao Login,0,0.89,0.91,0.59,0.59,0.23871279991761918,0.22200290392338584,0.45999999999999996,0.21739130434782605,0.625,0.040167107707616,0.38211382113821135
exibe mensagem de alerta,abre um pop-up e exibe a mensagem “User or Password incorrect. Attempts remaining until the account lockout: #tentativas restantes#” em um pop-up,0,0.9793103448275862,0.9655172413793104,0.8344827586206897,0.8344827586206897,0.41704980842911876,0.41704980842911876,0.8344827586206897,0.5666666666666667,0.7482758620689656,0.24000234946380639,0.7431192660550459
digita um login de usuário administrador e/ou password invalidos pela quinta vez e pressiona Login,digita o user de um usuario administrador corretamente| digita uma password invalida pela sexta vez e pressiona o botao Login,0,0.928,0.928,0.376,0.376,0.2385408529002998,0.22518256513788304,0.344,0.28,0.404,0.04094607062058586,0.26530612244897955
bloqueia usuário,bloqueia o usuário e exibe a mensagem 'This user has been blocked',0,0.8484848484848485,0.9848484848484849,0.7575757575757576,0.7575757575757576,0.3254419191919192,0.3150252525252526,0.7575757575757576,0.47619047619047616,0.6401515151515151,0.25949042519374077,0.5737704918032787
fecha a janela pop-up,exibe mensagem informando usuario está bloqueado,0,0.9583333333333334,1.0,0.8125,0.8125,0.503968253968254,0.503968253968254,0.7916666666666666,0.6956521739130435,0.8472222222222222,0.4398781660820088,0.9649122807017544
exibe tela “SAFF Extractor” em modo offline,fecha a janela pop-up e exibe tela de extracao por dispositivo em modo offline,0,0.9615384615384616,0.7692307692307693,0.5897435897435898,0.5897435897435898,0.38652852315643005,0.3818988935268005,0.5512820512820513,0.4814814814814815,0.6185897435897436,0.1504309362341283,0.4565217391304348
infoma que usuario esta bloqueado por inatividade,exibe a mensagem 'This user has been blocked',0,0.9795918367346939,0.9387755102040817,0.8163265306122449,0.8163265306122449,0.45745973603116463,0.45104947962090824,0.6734693877551021,0.5,0.8707482993197279,0.34258875695371604,0.8611111111111112
exibe mensagem “Invalid user or password” na tela de login,exibe na pagina de login uma mensagem de usuario ou senha incorretos,0,0.8529411764705882,0.8970588235294118,0.6911764705882353,0.6911764705882353,0.2708789722785666,0.2439386708030068,0.5735294117647058,0.30434782608695654,0.6875,0.06667352762239398,0.5
abre um pop-up e exibe a mensagem “User or Password incorrect. Attempts remaining until the account lockout: #tentativas restantes#” em um pop-up,"abre um pop-up e exibe a mensagem de usuario ou senha incorretos, informa o numero de tentativas restantes ate que o usuario seja bloqueado",0,0.7517241379310344,0.903448275862069,0.5724137931034483,0.5724137931034483,0.23501757577603977,0.17879082903024845,0.4,0.4117647058823529,0.603448275862069,0.07267118668342876,0.4219653179190751
digita o user de um usuario administrador corretamente| digita uma password invalida pela sexta vez e pressiona o botao Login,digita o user correte e o password invalido pela sexta vez e pressiona o botao Login,0,0.872,0.52,0.352,0.352,0.23433333333333328,0.2063260952380952,0.352,0.09090909090909094,0.372,0.05645435727084702,0.22388059701492535
bloqueia o usuário e exibe a mensagem 'This user has been blocked',bloqueia o usuario e exibe uma mensagem informando que o usuario foi bloqueado,0,0.6666666666666666,0.9358974358974359,0.3974358974358974,0.3974358974358974,0.28570171966398383,0.23442192382685856,0.3589743589743589,0.31818181818181823,0.4198717948717949,0.13600494763001447,0.3978494623655914
exibe a mensagem 'This user has been blocked',exibe mensagem indicando que usuario foi bloqueado,0,0.84,0.94,0.54,0.54,0.33858585858585855,0.33353535353535346,0.43999999999999995,0.2857142857142857,0.555,0.21947026873257103,0.5492957746478873
seleciona pasta “EXTRACT_FILE_IPP320_AKIRA”| que contem 705 extrações para diversas familias| e pressiona o botao “Extract”,seleciona pasta “EXTRACT_FILE_IPP320_AKIRA”| que contem 703 extrações para diversas familias| e pressiona o botao “Extract”,0,0.008130081300813009,0.008130081300813009,0.008130081300813009,0.008130081300813009,0.005420054200542146,0.0028642562848393283,0.008130081300813052,0.024390243902439046,0.008130081300813009,0.0018779359295577613,0.02197802197802201
exibe na parte inferior da tela uma mensagem indicando que 705 extrações foram realizadas,exibe na parte inferior da tela uma mensagem indicando que 703 extrações foram realizadas,0,0.011235955056179775,0.011235955056179775,0.011235955056179775,0.011235955056179775,0.0074906367041198685,0.0023566048057904743,0.011235955056179803,0.07692307692307687,0.011235955056179775,0.0022321428571430157,0.030303030303030276
acessa pagina “Extractions”,acessa pagina “Extractions” e seleciona opção para mostrar 50 entradas por página,0,0.6666666666666666,0.9876543209876543,0.6666666666666666,0.6666666666666666,0.22222222222222232,0.14814814814814825,0.6666666666666667,0.34782608695652173,0.5339506172839507,0.08317284404403391,0.39473684210526316
atualiza a pagina mostrando todas 705 extrações,atualiza a pagina mostrando todas 703 extrações,0,0.02127659574468085,0.02127659574468085,0.02127659574468085,0.02127659574468085,0.014184397163120699,0.0033197525275389106,0.021276595744680882,0.09090909090909094,0.02127659574468085,0.006802721088435382,0.052631578947368474
seleciona a opção 'Español' no campo 'Language' e pressiona botão 'Save',Abre arquivo de configurações e modifica propriedade linguagem para 'Español'| salva e loga novamente no sistema,0,0.9732142857142857,0.9642857142857143,0.7410714285714286,0.7410714285714286,0.33489076634237913,0.33489076634237913,0.6875,0.31034482758620685,0.7901785714285714,0.13937367794751876,0.6
exibe tela onde os campos 'Name'| 'Login'| 'Type' e 'Language'. Eles estão devidamente preenchidos,exibe tela onde os campos 'Name'| 'Login'| 'Type'| 'Laboratory' e 'Language'. Eles estão devidamente preenchidos,0,0.5446428571428571,0.5267857142857143,0.125,0.125,0.11649659863945583,0.06552933673469385,0.125,0.0,0.12946428571428573,0.012675430479400784,0.05555555555555558
